Provider,Phys_Count,Patient_Count,Norm_Patient_Count,Claim_Count,Norm_Claim_Count,Service_Type,Both_Service,Inpatient,Outpatient,Inpatient_Count,Outpatient_Count,Norm_Inpatient_Count,Norm_Outpatient_Count,DuplicateClaims,Duplicate_Claims_Percent,AvgClaimDuration,Avg_Cost,Avg_Age,Gender1,Gender2,Race1,Race2,Race3,Race5,ChronicCond_Alzheimer_1,ChronicCond_Alzheimer_2,ChronicCond_KidneyDisease_1,ChronicCond_KidneyDisease_2,ChronicCond_Cancer_1,ChronicCond_Cancer_2,ChronicCond_ObstrPulmonary_1,ChronicCond_ObstrPulmonary_2,ChronicCond_Depression_1,ChronicCond_Depression_2,ChronicCond_Diabetes_1,ChronicCond_Diabetes_2,ChronicCond_IschemicHeart_1,ChronicCond_IschemicHeart_2,ChronicCond_Osteoporasis_1,ChronicCond_Osteoporasis_2,ChronicCond_rheumatoidarthritis_1,ChronicCond_rheumatoidarthritis_2,ChronicCond_stroke_1,ChronicCond_stroke_2,PotentialFraud,NetworkDegree,isFraudConnected,NoPhysicianCount,FraudNeighbor_Count
PRV52433,4,62,15.5,85,21.25,Outpatient,0,0,1,0.0,85.0,0.0,1.0,0.0,0.0,0.9058823529411765,261.52941176470586,76,25.0,37.0,55.0,6.0,1.0,0.0,23.0,39.0,21.0,41.0,5.0,57.0,15.0,47.0,24.0,38.0,39.0,23.0,49.0,13.0,17.0,45.0,19.0,43.0,3.0,59.0,No,1.0,0.0,0.0,0.0
PRV52434,1,2,2.0,2,2.0,Outpatient,0,0,1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,91,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,No,0.0,0.0,0.0,0.0
PRV52435,10,25,2.5,70,7.0,Outpatient,0,0,1,0.0,70.0,0.0,1.0,0.0,0.0,2.1,297.14285714285717,73,15.0,10.0,20.0,5.0,0.0,0.0,6.0,19.0,7.0,18.0,6.0,19.0,5.0,20.0,9.0,16.0,15.0,10.0,18.0,7.0,5.0,20.0,4.0,21.0,0.0,25.0,No,1.0,0.0,0.0,0.0
PRV52436,7,22,3.14,44,6.29,Outpatient,0,0,1,0.0,44.0,0.0,1.0,0.0,0.0,1.5909090909090908,228.1818181818182,68,9.0,13.0,14.0,7.0,1.0,0.0,6.0,16.0,11.0,11.0,2.0,20.0,8.0,14.0,9.0,13.0,13.0,9.0,16.0,6.0,10.0,12.0,5.0,17.0,3.0,19.0,No,1.0,0.0,0.0,0.0
PRV52437,11,26,2.36,43,3.91,Outpatient,0,0,1,0.0,43.0,0.0,1.0,0.0,0.0,0.2558139534883721,257.90697674418607,74,11.0,15.0,20.0,6.0,0.0,0.0,10.0,16.0,13.0,13.0,2.0,24.0,9.0,17.0,17.0,9.0,18.0,8.0,17.0,9.0,12.0,14.0,6.0,20.0,4.0,22.0,No,3.0,0.0,0.0,0.0
PRV52439,1,64,64.0,121,121.0,Outpatient,0,0,1,0.0,121.0,0.0,1.0,0.0,0.0,0.5785123966942148,246.61157024793388,72,30.0,34.0,49.0,15.0,0.0,0.0,22.0,42.0,18.0,46.0,9.0,55.0,26.0,38.0,18.0,46.0,43.0,21.0,48.0,16.0,18.0,46.0,15.0,49.0,3.0,61.0,No,0.0,0.0,2.0,0.0
PRV52440,1,8,8.0,12,12.0,Outpatient,0,0,1,0.0,12.0,0.0,1.0,0.0,0.0,2.9166666666666665,431.6666666666667,76,3.0,5.0,8.0,0.0,0.0,0.0,4.0,4.0,2.0,6.0,0.0,8.0,3.0,5.0,6.0,2.0,6.0,2.0,7.0,1.0,2.0,6.0,3.0,5.0,1.0,7.0,No,0.0,0.0,0.0,0.0
PRV52441,1,53,53.0,94,94.0,Outpatient,0,0,1,0.0,94.0,0.0,1.0,0.0,0.0,1.0425531914893618,224.25531914893617,70,27.0,26.0,38.0,14.0,1.0,0.0,19.0,34.0,22.0,31.0,10.0,43.0,13.0,40.0,23.0,30.0,35.0,18.0,39.0,14.0,18.0,35.0,19.0,34.0,8.0,45.0,No,0.0,0.0,2.0,0.0
PRV52443,1,1,1.0,1,1.0,Outpatient,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,91,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV52445,3,5,1.67,5,1.67,Inpatient,0,1,0,5.0,0.0,1.0,0.0,0.0,0.0,8.2,21468.0,71,3.0,2.0,3.0,2.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,5.0,0.0,5.0,2.0,3.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,Yes,1.0,0.0,0.0,0.0
PRV52446,1,10,10.0,10,10.0,Inpatient,0,1,0,10.0,0.0,1.0,0.0,0.0,0.0,7.3,13968.0,60,2.0,8.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,10.0,3.0,7.0,6.0,4.0,7.0,3.0,10.0,0.0,2.0,8.0,5.0,5.0,4.0,6.0,No,0.0,0.0,0.0,0.0
PRV52448,2,2,1.0,2,1.0,Outpatient,0,0,1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,85.0,90,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,No,0.0,0.0,0.0,0.0
PRV52449,5,5,1.0,6,1.2,Inpatient,0,1,0,6.0,0.0,1.0,0.0,0.0,0.0,6.666666666666667,22068.0,73,5.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,No,3.0,0.0,0.0,0.0
PRV52450,14,232,16.57,298,21.29,Outpatient,0,0,1,0.0,298.0,0.0,1.0,0.0,0.0,1.3657718120805369,275.6040268456376,71,101.0,131.0,163.0,63.0,4.0,2.0,100.0,132.0,80.0,152.0,38.0,194.0,67.0,165.0,111.0,121.0,160.0,72.0,176.0,56.0,77.0,155.0,74.0,158.0,28.0,204.0,No,1.0,0.0,1.0,0.0
PRV52451,1,17,17.0,20,20.0,Outpatient,0,0,1,0.0,20.0,0.0,1.0,0.0,0.0,2.4,557.5,73,8.0,9.0,14.0,3.0,0.0,0.0,8.0,9.0,7.0,10.0,3.0,14.0,2.0,15.0,6.0,11.0,12.0,5.0,13.0,4.0,7.0,10.0,8.0,9.0,1.0,16.0,No,0.0,0.0,0.0,0.0
PRV52452,6,136,22.67,274,45.67,Both_Service,1,0,0,2.0,272.0,0.01,0.99,0.0,0.0,1.3467153284671534,332.86861313868616,71,68.0,68.0,102.0,30.0,4.0,0.0,48.0,88.0,43.0,93.0,16.0,120.0,42.0,94.0,56.0,80.0,86.0,50.0,97.0,39.0,31.0,105.0,45.0,91.0,11.0,125.0,No,0.0,0.0,0.0,0.0
PRV52453,1,1,1.0,1,1.0,Outpatient,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,74,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV52454,1,14,14.0,15,15.0,Outpatient,0,0,1,0.0,15.0,0.0,1.0,0.0,0.0,0.2,102.66666666666667,72,5.0,9.0,12.0,2.0,0.0,0.0,3.0,11.0,4.0,10.0,1.0,13.0,3.0,11.0,4.0,10.0,9.0,5.0,9.0,5.0,1.0,13.0,4.0,10.0,0.0,14.0,No,0.0,0.0,0.0,0.0
PRV52455,2,45,22.5,76,38.0,Outpatient,0,0,1,0.0,76.0,0.0,1.0,0.0,0.0,1.8026315789473684,322.10526315789474,74,21.0,24.0,40.0,4.0,1.0,0.0,18.0,27.0,15.0,30.0,6.0,39.0,10.0,35.0,22.0,23.0,30.0,15.0,34.0,11.0,10.0,35.0,13.0,32.0,4.0,41.0,No,1.0,0.0,0.0,0.0
PRV52456,1,7,7.0,7,7.0,Outpatient,0,0,1,0.0,7.0,0.0,1.0,0.0,0.0,1.5714285714285714,195.71428571428572,66,3.0,4.0,6.0,1.0,0.0,0.0,2.0,5.0,4.0,3.0,2.0,5.0,1.0,6.0,4.0,3.0,6.0,1.0,5.0,2.0,3.0,4.0,1.0,6.0,1.0,6.0,No,0.0,0.0,0.0,0.0
PRV52457,5,9,1.8,9,1.8,Inpatient,0,1,0,9.0,0.0,1.0,0.0,0.0,0.0,4.444444444444445,13949.333333333334,76,4.0,5.0,9.0,0.0,0.0,0.0,3.0,6.0,5.0,4.0,2.0,7.0,4.0,5.0,4.0,5.0,8.0,1.0,9.0,0.0,3.0,6.0,3.0,6.0,0.0,9.0,No,0.0,0.0,1.0,0.0
PRV52458,1,1,1.0,1,1.0,Inpatient,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,28068.0,67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV52459,3,49,16.33,50,16.67,Inpatient,0,1,0,50.0,0.0,1.0,0.0,0.0,0.0,5.28,11164.64,71,17.0,32.0,32.0,17.0,0.0,0.0,24.0,25.0,32.0,17.0,9.0,40.0,25.0,24.0,18.0,31.0,38.0,11.0,45.0,4.0,20.0,29.0,20.0,29.0,11.0,38.0,No,0.0,0.0,0.0,0.0
PRV52460,2,9,4.5,13,6.5,Inpatient,0,1,0,13.0,0.0,1.0,0.0,0.0,0.0,5.3076923076923075,7991.076923076923,69,2.0,7.0,8.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,1.0,8.0,6.0,3.0,5.0,4.0,6.0,3.0,8.0,1.0,6.0,3.0,5.0,4.0,3.0,6.0,No,1.0,0.0,0.0,0.0
PRV52461,1,7,7.0,7,7.0,Inpatient,0,1,0,7.0,0.0,1.0,0.0,0.0,0.0,3.5714285714285716,7925.142857142857,70,4.0,3.0,5.0,2.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,7.0,2.0,5.0,3.0,4.0,6.0,1.0,7.0,0.0,2.0,5.0,1.0,6.0,2.0,5.0,No,0.0,0.0,0.0,0.0
PRV52462,1,2,2.0,2,2.0,Inpatient,0,1,0,2.0,0.0,1.0,0.0,0.0,0.0,4.5,8534.0,81,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,No,0.0,0.0,0.0,0.0
PRV52463,1,1,1.0,1,1.0,Inpatient,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,6068.0,92,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV52464,1,2,2.0,2,2.0,Inpatient,0,1,0,2.0,0.0,1.0,0.0,0.0,0.0,8.5,7068.0,86,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,No,0.0,0.0,0.0,0.0
PRV52466,1,11,11.0,13,13.0,Inpatient,0,1,0,13.0,0.0,1.0,0.0,0.0,0.0,8.538461538461538,11760.307692307691,69,5.0,6.0,6.0,4.0,1.0,0.0,5.0,6.0,7.0,4.0,1.0,10.0,4.0,7.0,4.0,7.0,7.0,4.0,9.0,2.0,3.0,8.0,7.0,4.0,3.0,8.0,No,1.0,0.0,0.0,0.0
PRV52467,49,89,1.82,103,2.1,Both_Service,1,0,0,8.0,95.0,0.08,0.92,0.0,0.0,1.5048543689320388,1868.9708737864078,73,34.0,55.0,39.0,4.0,45.0,1.0,30.0,59.0,33.0,56.0,11.0,78.0,29.0,60.0,34.0,55.0,54.0,35.0,57.0,32.0,22.0,67.0,19.0,70.0,6.0,83.0,Yes,8.0,0.0,0.0,0.0
PRV52468,14,21,1.5,21,1.5,Both_Service,1,0,0,3.0,18.0,0.14,0.86,0.0,0.0,1.9523809523809523,1697.8095238095239,71,7.0,14.0,9.0,1.0,11.0,0.0,9.0,12.0,6.0,15.0,4.0,17.0,7.0,14.0,8.0,13.0,15.0,6.0,15.0,6.0,7.0,14.0,4.0,17.0,2.0,19.0,No,1.0,1.0,0.0,1.0
PRV52469,36,150,4.17,184,5.11,Both_Service,1,0,0,6.0,178.0,0.03,0.97,2.0,0.01,1.4076086956521738,603.8478260869565,72,55.0,95.0,98.0,11.0,38.0,3.0,59.0,91.0,62.0,88.0,19.0,131.0,34.0,116.0,64.0,86.0,100.0,50.0,105.0,45.0,47.0,103.0,47.0,103.0,6.0,144.0,No,1.0,0.0,0.0,0.0
PRV52470,3,3,1.0,3,1.0,Outpatient,0,0,1,0.0,3.0,0.0,1.0,0.0,0.0,0.0,90.0,73,2.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,No,0.0,0.0,0.0,0.0
PRV52471,6,8,1.33,8,1.33,Outpatient,0,0,1,0.0,8.0,0.0,1.0,0.0,0.0,0.125,217.5,74,3.0,5.0,3.0,0.0,5.0,0.0,5.0,3.0,2.0,6.0,1.0,7.0,2.0,6.0,4.0,4.0,6.0,2.0,7.0,1.0,2.0,6.0,3.0,5.0,1.0,7.0,No,0.0,0.0,0.0,0.0
PRV52472,37,57,1.54,61,1.65,Both_Service,1,0,0,18.0,43.0,0.3,0.7,0.0,0.0,3.3442622950819674,3640.4262295081967,74,24.0,33.0,24.0,1.0,23.0,9.0,13.0,44.0,21.0,36.0,7.0,50.0,16.0,41.0,20.0,37.0,36.0,21.0,39.0,18.0,15.0,42.0,19.0,38.0,4.0,53.0,No,3.0,1.0,0.0,1.0
PRV52473,4,4,1.0,4,1.0,Outpatient,0,0,1,0.0,4.0,0.0,1.0,0.0,0.0,5.0,967.5,79,0.0,4.0,1.0,0.0,3.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,4.0,No,0.0,0.0,0.0,0.0
PRV52474,19,35,1.84,37,1.95,Both_Service,1,0,0,22.0,15.0,0.59,0.41,0.0,0.0,4.351351351351352,6790.756756756757,71,15.0,20.0,17.0,0.0,18.0,0.0,9.0,26.0,15.0,20.0,4.0,31.0,14.0,21.0,13.0,22.0,27.0,8.0,26.0,9.0,11.0,24.0,14.0,21.0,3.0,32.0,No,2.0,0.0,0.0,0.0
PRV52476,16,26,1.62,26,1.62,Both_Service,1,0,0,6.0,20.0,0.23,0.77,0.0,0.0,2.9615384615384617,3608.0,73,8.0,18.0,15.0,0.0,10.0,1.0,10.0,16.0,14.0,12.0,5.0,21.0,12.0,14.0,15.0,11.0,18.0,8.0,21.0,5.0,9.0,17.0,9.0,17.0,4.0,22.0,No,3.0,0.0,0.0,0.0
PRV52478,27,52,1.93,55,2.04,Both_Service,1,0,0,5.0,50.0,0.09,0.91,0.0,0.0,2.272727272727273,676.0,71,24.0,28.0,38.0,3.0,8.0,3.0,27.0,25.0,18.0,34.0,3.0,49.0,21.0,31.0,31.0,21.0,38.0,14.0,42.0,10.0,17.0,35.0,16.0,36.0,6.0,46.0,No,2.0,1.0,1.0,1.0
PRV52480,20,29,1.45,30,1.5,Both_Service,1,0,0,5.0,25.0,0.17,0.83,0.0,0.0,1.0333333333333334,1656.3333333333333,71,9.0,20.0,12.0,4.0,11.0,2.0,15.0,14.0,10.0,19.0,5.0,24.0,10.0,19.0,8.0,21.0,20.0,9.0,23.0,6.0,9.0,20.0,7.0,22.0,6.0,23.0,No,4.0,0.0,0.0,0.0
PRV52482,1,1,1.0,1,1.0,Outpatient,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV52483,3,61,20.33,223,74.33,Outpatient,0,0,1,0.0,223.0,0.0,1.0,2.0,0.01,1.0179372197309418,236.14349775784754,74,33.0,28.0,21.0,0.0,40.0,0.0,19.0,42.0,11.0,50.0,9.0,52.0,10.0,51.0,18.0,43.0,29.0,32.0,34.0,27.0,17.0,44.0,13.0,48.0,2.0,59.0,No,0.0,0.0,1.0,0.0
PRV52484,7,10,1.43,13,1.86,Outpatient,0,0,1,0.0,13.0,0.0,1.0,0.0,0.0,0.9230769230769231,143.07692307692307,78,2.0,8.0,4.0,1.0,5.0,0.0,2.0,8.0,4.0,6.0,3.0,7.0,3.0,7.0,3.0,7.0,8.0,2.0,7.0,3.0,1.0,9.0,3.0,7.0,0.0,10.0,No,1.0,0.0,0.0,0.0
PRV52485,2,4,2.0,5,2.5,Outpatient,0,0,1,0.0,5.0,0.0,1.0,0.0,0.0,0.0,328.0,80,4.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,4.0,No,0.0,0.0,0.0,0.0
PRV52486,7,58,8.29,69,9.86,Outpatient,0,0,1,0.0,69.0,0.0,1.0,0.0,0.0,1.8695652173913044,322.463768115942,71,25.0,33.0,17.0,1.0,40.0,0.0,21.0,37.0,19.0,39.0,5.0,53.0,21.0,37.0,21.0,37.0,38.0,20.0,44.0,14.0,19.0,39.0,16.0,42.0,2.0,56.0,No,6.0,1.0,0.0,1.0
PRV52487,5,127,25.4,177,35.4,Outpatient,0,0,1,0.0,177.0,0.0,1.0,0.0,0.0,1.231638418079096,294.6327683615819,72,46.0,81.0,36.0,2.0,89.0,0.0,48.0,79.0,44.0,83.0,13.0,114.0,33.0,94.0,43.0,84.0,79.0,48.0,87.0,40.0,37.0,90.0,35.0,92.0,8.0,119.0,No,6.0,1.0,0.0,1.0
PRV52488,5,130,26.0,183,36.6,Outpatient,0,0,1,0.0,183.0,0.0,1.0,0.0,0.0,1.1147540983606556,247.81420765027323,73,53.0,77.0,34.0,0.0,96.0,0.0,50.0,80.0,46.0,84.0,14.0,116.0,35.0,95.0,48.0,82.0,86.0,44.0,90.0,40.0,35.0,95.0,35.0,95.0,10.0,120.0,No,6.0,1.0,0.0,1.0
PRV52490,2,16,8.0,17,8.5,Outpatient,0,0,1,0.0,17.0,0.0,1.0,0.0,0.0,2.3529411764705883,293.52941176470586,77,7.0,9.0,4.0,0.0,12.0,0.0,8.0,8.0,5.0,11.0,0.0,16.0,5.0,11.0,5.0,11.0,10.0,6.0,13.0,3.0,4.0,12.0,5.0,11.0,2.0,14.0,No,5.0,1.0,0.0,1.0
PRV52491,3,57,19.0,63,21.0,Outpatient,0,0,1,0.0,63.0,0.0,1.0,0.0,0.0,1.4761904761904763,264.76190476190476,73,20.0,37.0,16.0,0.0,41.0,0.0,28.0,29.0,25.0,32.0,11.0,46.0,18.0,39.0,26.0,31.0,33.0,24.0,42.0,15.0,23.0,34.0,21.0,36.0,4.0,53.0,No,4.0,0.0,0.0,0.0
PRV52492,6,33,5.5,34,5.67,Outpatient,0,0,1,0.0,34.0,0.0,1.0,0.0,0.0,1.8235294117647058,230.2941176470588,73,14.0,19.0,19.0,1.0,11.0,2.0,10.0,23.0,8.0,25.0,4.0,29.0,5.0,28.0,8.0,25.0,23.0,10.0,21.0,12.0,14.0,19.0,9.0,24.0,1.0,32.0,No,6.0,1.0,1.0,1.0
PRV52493,3,16,5.33,16,5.33,Outpatient,0,0,1,0.0,16.0,0.0,1.0,0.0,0.0,0.0,248.125,75,7.0,9.0,3.0,0.0,13.0,0.0,8.0,8.0,8.0,8.0,2.0,14.0,8.0,8.0,9.0,7.0,9.0,7.0,13.0,3.0,5.0,11.0,6.0,10.0,2.0,14.0,No,0.0,0.0,0.0,0.0
PRV52494,1,1,1.0,1,1.0,Outpatient,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV52495,6,14,2.33,15,2.5,Both_Service,1,0,0,12.0,3.0,0.8,0.2,0.0,0.0,3.533333333333333,7441.066666666667,73,5.0,9.0,3.0,0.0,11.0,0.0,5.0,9.0,5.0,9.0,3.0,11.0,4.0,10.0,4.0,10.0,6.0,8.0,9.0,5.0,3.0,11.0,4.0,10.0,1.0,13.0,No,0.0,0.0,0.0,0.0
PRV52497,13,30,2.31,30,2.31,Both_Service,1,0,0,4.0,26.0,0.13,0.87,0.0,0.0,1.5,2117.0666666666666,74,14.0,16.0,29.0,0.0,1.0,0.0,12.0,18.0,11.0,19.0,3.0,27.0,6.0,24.0,12.0,18.0,22.0,8.0,22.0,8.0,11.0,19.0,8.0,22.0,3.0,27.0,Yes,2.0,0.0,0.0,0.0
PRV52499,68,119,1.75,157,2.31,Both_Service,1,0,0,8.0,149.0,0.05,0.95,0.0,0.0,2.1910828025477707,1099.0191082802548,73,51.0,68.0,109.0,3.0,4.0,3.0,48.0,71.0,55.0,64.0,15.0,104.0,46.0,73.0,46.0,73.0,88.0,31.0,91.0,28.0,41.0,78.0,40.0,79.0,14.0,105.0,No,6.0,1.0,1.0,1.0
PRV52500,59,111,1.88,126,2.14,Both_Service,1,0,0,7.0,119.0,0.06,0.94,0.0,0.0,1.1666666666666667,747.1111111111111,72,54.0,57.0,100.0,2.0,9.0,0.0,42.0,69.0,39.0,72.0,16.0,95.0,35.0,76.0,46.0,65.0,67.0,44.0,83.0,28.0,40.0,71.0,34.0,77.0,14.0,97.0,No,2.0,1.0,1.0,1.0
PRV52501,13,16,1.23,19,1.46,Outpatient,0,0,1,0.0,19.0,0.0,1.0,0.0,0.0,1.263157894736842,260.0,71,5.0,11.0,16.0,0.0,0.0,0.0,6.0,10.0,2.0,14.0,3.0,13.0,1.0,15.0,5.0,11.0,6.0,10.0,7.0,9.0,3.0,13.0,2.0,14.0,0.0,16.0,No,4.0,1.0,0.0,2.0
PRV52502,36,87,2.42,119,3.31,Both_Service,1,0,0,26.0,93.0,0.22,0.78,0.0,0.0,2.680672268907563,2416.9747899159665,73,40.0,47.0,81.0,2.0,2.0,2.0,34.0,53.0,34.0,53.0,15.0,72.0,24.0,63.0,34.0,53.0,64.0,23.0,63.0,24.0,29.0,58.0,23.0,64.0,8.0,79.0,Yes,2.0,1.0,0.0,1.0
PRV52503,35,63,1.8,78,2.23,Both_Service,1,0,0,5.0,73.0,0.06,0.94,0.0,0.0,2.0256410256410255,1006.4102564102565,73,27.0,36.0,61.0,0.0,1.0,1.0,22.0,41.0,20.0,43.0,9.0,54.0,15.0,48.0,22.0,41.0,40.0,23.0,47.0,16.0,11.0,52.0,16.0,47.0,8.0,55.0,No,2.0,0.0,0.0,0.0
PRV52504,14,34,2.43,40,2.86,Both_Service,1,0,0,14.0,26.0,0.35,0.65,0.0,0.0,2.325,3228.3,72,12.0,22.0,27.0,2.0,5.0,0.0,15.0,19.0,15.0,19.0,7.0,27.0,12.0,22.0,15.0,19.0,21.0,13.0,27.0,7.0,11.0,23.0,8.0,26.0,5.0,29.0,Yes,2.0,0.0,0.0,0.0
PRV52506,9,12,1.33,13,1.44,Outpatient,0,0,1,0.0,13.0,0.0,1.0,0.0,0.0,1.6153846153846154,168.46153846153845,74,6.0,6.0,12.0,0.0,0.0,0.0,5.0,7.0,1.0,11.0,1.0,11.0,3.0,9.0,4.0,8.0,6.0,6.0,7.0,5.0,3.0,9.0,4.0,8.0,1.0,11.0,No,0.0,0.0,0.0,0.0
PRV52507,15,24,1.6,29,1.93,Outpatient,0,0,1,0.0,29.0,0.0,1.0,0.0,0.0,0.20689655172413793,253.44827586206895,72,9.0,15.0,23.0,0.0,1.0,0.0,11.0,13.0,6.0,18.0,2.0,22.0,7.0,17.0,12.0,12.0,15.0,9.0,16.0,8.0,5.0,19.0,6.0,18.0,0.0,24.0,No,2.0,0.0,0.0,0.0
PRV52508,26,36,1.38,37,1.42,Both_Service,1,0,0,2.0,35.0,0.05,0.95,0.0,0.0,1.162162162162162,887.1891891891892,71,11.0,25.0,33.0,0.0,2.0,1.0,6.0,30.0,16.0,20.0,6.0,30.0,9.0,27.0,15.0,21.0,28.0,8.0,21.0,15.0,13.0,23.0,5.0,31.0,3.0,33.0,No,3.0,1.0,1.0,1.0
PRV52509,19,26,1.37,63,3.32,Both_Service,1,0,0,6.0,57.0,0.1,0.9,0.0,0.0,1.126984126984127,1911.3968253968253,72,10.0,16.0,26.0,0.0,0.0,0.0,10.0,16.0,11.0,15.0,8.0,18.0,7.0,19.0,11.0,15.0,17.0,9.0,19.0,7.0,9.0,17.0,8.0,18.0,3.0,23.0,No,3.0,1.0,0.0,1.0
PRV52510,12,22,1.83,26,2.17,Outpatient,0,0,1,0.0,26.0,0.0,1.0,0.0,0.0,0.0,166.92307692307693,73,9.0,13.0,20.0,0.0,2.0,0.0,10.0,12.0,8.0,14.0,4.0,18.0,7.0,15.0,13.0,9.0,14.0,8.0,17.0,5.0,7.0,15.0,6.0,16.0,1.0,21.0,No,2.0,0.0,0.0,0.0
PRV52511,81,196,2.42,246,3.04,Both_Service,1,0,0,75.0,171.0,0.3,0.7,0.0,0.0,2.7439024390243905,3251.0243902439024,70,76.0,120.0,174.0,7.0,12.0,3.0,74.0,122.0,78.0,118.0,30.0,166.0,61.0,135.0,77.0,119.0,128.0,68.0,151.0,45.0,57.0,139.0,57.0,139.0,30.0,166.0,Yes,8.0,1.0,0.0,2.0
PRV52512,2,19,9.5,31,15.5,Outpatient,0,0,1,0.0,31.0,0.0,1.0,0.0,0.0,1.935483870967742,196.4516129032258,66,12.0,7.0,18.0,0.0,1.0,0.0,6.0,13.0,6.0,13.0,5.0,14.0,7.0,12.0,4.0,15.0,16.0,3.0,12.0,7.0,4.0,15.0,6.0,13.0,4.0,15.0,No,0.0,0.0,1.0,0.0
PRV52513,9,18,2.0,20,2.22,Outpatient,0,0,1,0.0,20.0,0.0,1.0,0.0,0.0,0.0,193.5,75,4.0,14.0,16.0,0.0,2.0,0.0,3.0,15.0,4.0,14.0,4.0,14.0,5.0,13.0,7.0,11.0,10.0,8.0,10.0,8.0,5.0,13.0,4.0,14.0,2.0,16.0,No,3.0,1.0,0.0,2.0
PRV52514,8,13,1.62,15,1.88,Outpatient,0,0,1,0.0,15.0,0.0,1.0,0.0,0.0,1.3333333333333333,444.0,78,6.0,7.0,12.0,0.0,1.0,0.0,5.0,8.0,5.0,8.0,6.0,7.0,4.0,9.0,7.0,6.0,9.0,4.0,9.0,4.0,3.0,10.0,1.0,12.0,4.0,9.0,No,1.0,0.0,0.0,0.0
